,tmdb_id,soup
39,857,drama history war epic army airplane selfsacrifice warveteran warcrime bravery worldwarii normandy france parachute rescuemission cowardice baseontruestory soldier death military 1940 tomhanks tomsizemore edwardburns mattdamon barrypepper adamgoldberg stevenspielberg stevenspielberg stevenspielberg
40,324857,action adventure animation sciencefiction superhero baseoncomic aftercreditsstinger alternateuniverse shameikmoore jakejohnson haileesteinfeld mahershalaali briantyreehenry lilytomlin rodneyrothman rodneyrothman rodneyrothman
41,244786,drama music newyorkcity concert jazz obsession youngadult baseonshortfilm milesteller j.k.simmons paulreiser melissabenoist austinstowell chrismulkey damienchazelle damienchazelle damienchazelle
42,1422,drama thriller crime police undercover boston massachusett gangster irish-american crimeboss friend remake mobster organizecrime mafia undercovercop realtor jacknicholson leonardodicaprio mattdamon markwahlberg verafarmiga martinsheen martinscorsese martinscorsese martinscorsese
43,120467,comedy drama hotel painting easterneurope author gunfight theft mentorprotégérelationship 1960 1930s ralphfiennes f.murrayabraham tonyrevolori mathieuamalric adrienbrody willemdafoe wesanderson wesanderson wesanderson
44,77,mystery thriller drugdealer amnesia tattoo waitress motel manipulation flashback revenge murder memoryloss psychologicalthriller whodunit losangeles california polaroid baseonshortstory nonlineartimeline neo-noir guypearce carrie-annemoss joepantoliano markboonejunior russfega jorjafox christophernolan christophernolan christophernolan
45,38,sciencefiction drama romance newyorkcity regret jealousy amnesia dream operation love memory relationship heartbreak nonlineartimeline 2000s jimcarrey katewinslet kirstendunst markruffalo elijahwood tomwilkinson michelgondry michelgondry michelgondry
46,101,crime drama action hotelroom newyorkcity immigrant assassin policebrutality corruption s.w.a.t. hitman lossofloveone training revenge murder loneliness neighbor tragiclove citylife neo-noir jeanreno natalieportman garyoldman dannyaiello peterappel michaelbadalucco lucbesson lucbesson lucbesson
47,500,crime thriller escape psychopath traitor heist thief betrayal gang nonlineartimeline warehouse tellinflashback heistgowrong botchrobbery baseonshortfilm harveykeitel timroth michaelmadsen chrispenn stevebuscemi lawrencetierney quentintarantino quentintarantino quentintarantino
48,348,horror sciencefiction android spacecraft spacemarine dystopia countdown spacetravel cowardice alien space femaleprotagonist parasite spaceopera xenomorph sigourneyweaver tomskerritt ianholm yaphetkotto johnhurt veronicacartwright ridleyscott ridleyscott ridleyscott
49,324786,drama history war japan worldwarii bible gore biography baseontruestory religion soldier alcoholic warhero andrewgarfield samworthington vincevaughn teresapalmer lukebracey hugoweaving melgibson melgibson melgibson
50,637,comedy drama dieanddeath bookshop loveofone'slife nazi selfsacrifice lossofloveone italy riddle massmurder concentrationcamp fascism worldwarii deportation jewpersecution storyteller rideabicycle nationalsocialism darkcomedy concentrationcampprisoner romanticcomedy dark war nazigermany robertobenigni nicolettabraschi giorgiocantarini giustinodurano sergiobinibustric marisaparedes robertobenigni robertobenigni robertobenigni
51,185,sciencefiction crime london england robbery streetgang greatbritain baseonnovelorbook nihilism parentchildrelationship society sexuality socialworker psychopath dystopia darkcomedy satire juveniledelinquent malcolmmcdowell patrickmagee adriennecorri miriamkarlin michaelbates warrenclarke stanleykubrick stanleykubrick stanleykubrick
52,769,drama crime prison florida newyorkcity baseonnovelorbook gangster massmurder drugtrafficking 1970 irish-american gore biography baseontruestory murder organizecrime mafia brooklyn newyorkcity crimeepic florida rayliotta robertdeniro joepesci lorrainebracco paulsorvino franksivero martinscorsese martinscorsese martinscorsese
53,280,action thriller sciencefiction shotgun dystopia moralambiguity post-apocalypticfuture villain timetravel mentalinstitution juveniledelinquent fictionalwar urbansetting troubledteen nuclearweapon savior actionhero goodversusevil terminator arnoldschwarzenegger lindahamilton edwardfurlong robertpatrick joemorton earlboen jamescameron jamescameron jamescameron
54,240,drama crime cuba italy gangster praise symbolism revenge organizecrime mafia lawyer suburb alpacino robertduvall dianekeaton robertdeniro johncazale taliashire francisfordcoppola francisfordcoppola francisfordcoppola
55,398818,romance drama baseonnovelorbook upperclass italy swimmingpool comeofage love breakthefourthwall summer teenageboy firstlove lgbt jewishfamily 1980s gaytheme timothéechalamet armiehammer michaelstuhlbarg amiracasar esthergarrel victoiredubois lucaguadagnino lucaguadagnino lucaguadagnino
56,14,drama adultery firsttime virgin cheat parentchildrelationship agedifference midlifecrisis cheerleader darkcomedy rise satire dysfunctionalfamily suburbia comeofage dysfunctionalmarriage marijuana loneliness loveaffair exercise extramaritalaffair realtor quitajob voyeur neighborhood closethomosexual gaytheme teenager kevinspacey annettebening thorabirch wesbentley menasuvari petergallagher sammendes sammendes sammendes
57,489,drama boston massachusett professor baseball mathematic genius harvarduniversity malefriendship ambition flashback love friend psychologist university courtroom mathgenius mattdamon robinwilliams benaffleck stellanskarsgård minniedriver caseyaffleck gusvansant gusvansant gusvansant
58,103,crime drama drugdealer vietnamveteran newyorkcity taxi pornography obsession taxidriver pimp firearm politician misanthrophy vigilante illegalprostitution characterstudy loner manhattan newyorkcity neo-noir robertdeniro jodiefoster cybillshepherd harveykeitel peterboyle leonardharris martinscorsese martinscorsese martinscorsese
59,111,action crime drama corruption siblerelationship florida cuba lossofloveone gangster cocaine riseandfall remake drugcartel mafia bitterness risetopower alpacino stevenbauer michellepfeiffer maryelizabethmastrantonio robertloggia miriamcolon briandepalma briandepalma briandepalma
60,146233,drama thriller crime usa kidnapping hostage detective maze symbolism investigation beat revenge vigilante ruralarea crimescene brutality candlelightvigil animalcruelty neo-noir childabduction hughjackman jakegyllenhaal mariabello terrencehoward pauldano violadavis denisvilleneuve denisvilleneuve denisvilleneuve
61,73,drama prison rape siblerelationship swastika brother fascism jail school losangeles california family xenophobia interracialfriendship nazism edwardnorton edwardfurlong beverlyd'angelo jenniferlien ethansuplee fairuzabalk tonykaye tonykaye tonykaye
62,62,sciencefiction mystery adventure manvsmachine moon artificialintelligence(a.i.) baseonnovelorbook technology spacetravel spacemission moonbase astronaut spacestation spaceopera 2000s keirdullea garylockwood williamsylvester douglasrain danielrichter leonardrossiter stanleykubrick stanleykubrick stanleykubrick
63,490132,drama history friendship southernusa roadtrip racism pianist driver lgbt roadmovie musictour 1960 viggomortensen mahershalaali lindacardellini sebastianmaniscalco dimiterd.marinov mikehatton peterfarrelly peterfarrelly peterfarrelly
64,372058,romance animation drama raceagainsttime afterlife naturaldisaster supernatural timetravel comet romance tragedy school body-swap nonlineartimeline starcrosslover anime ryunosukekamiki monekamishiraishi ryonarita aoiyuki nobunagashimazaki kaitoishikawa makotoshinkai makotoshinkai makotoshinkai
65,207,drama individual friendship philosophy professor comeofage teacher schoolplay schoolteacher preparatoryschool 1950 teenager robinwilliams ethanhawke robertseanleonard galehansen joshcharles dylankussman peterweir peterweir peterweir
66,600,drama war rescue vietnamwar suicide vietnam helicopter prostitute baseonnovelorbook propaganda warcorrespondent journalism infantry jungle sergeant racism genocide fight platoon combat u.s.marine military antiwar matthewmodine adambaldwin vincentd'onofrio r.leeermey dorianharewood arlisshoward stanleykubrick stanleykubrick stanleykubrick
67,510,drama mentallydisabled friendship baseonnovelorbook nurse insaneasylum oregon usa hospital femalevillain shocktreatment jacknicholson braddourif louisefletcher dannydevito williamredfield scatmancrothers milošforman milošforman milošforman
68,629,drama crime thriller newyorkcity heist gayinterest flashback policecorruption whodunit theft criminal criminalmastermind cargoship mindgame neo-noir gabrielbyrne kevinspacey stephenbaldwin kevinpollak beniciodeltoro chazzpalminteri bryansinger bryansinger bryansinger
69,508442,animation family comedy fantasy drama newyorkcity jazz musician cat self-discovery jazzsingerormusician teacher lifeafterdeath jamiefoxx tinafey grahamnorton rachelhouse alicebraga richardayoade petedocter petedocter petedocter
70,359940,crime drama smalltown suicide policebrutality rape darkcomedy alcoholism murder arson cancer teenagegirl policecorruption racism anger francesmcdormand woodyharrelson samrockwell lucashedges abbiecornish caleblandryjones martinmcdonagh martinmcdonagh martinmcdonagh
71,539,horror thriller mystery hotel clerk shower arizona motel stealmoney taxidermy money blackandwhite corpse murderer theft mentalillness privatedetective missperson psycho voyeurism voyeur oedipuscomplex doubleidentity mothersonrelationship anthonyperkins janetleigh veramiles johngavin martinbalsam johnmcintire alfredhitchcock alfredhitchcock alfredhitchcock
