id,original_title,popularity
166426,Pirates of the Caribbean: Dead Men Tell No Tales,65.325
857,Saving Private Ryan,65.231
1007427,Night Train,65.188
171274,Inherent Vice,65.175
1124,The Prestige,64.904
934632,Rebel Moon - Part Two: The Scargiver,64.903
321612,Beauty and the Beast,64.874
98,Gladiator,64.702
497698,Black Widow,64.644
1015936,Feed,64.59
259316,Fantastic Beasts and Where to Find Them,64.416
785084,The Whale,64.296
447332,A Quiet Place,64.206
39108,ドラゴンボールZ 龍拳爆発!!悟空がやらねば誰がやる,64.098
291805,Now You See Me 2,64.074
445651,The Darkest Minds,64.027
897066,パイズリ修道院 私を、懺悔して！,63.966
10009,Brother Bear,63.917
50546,Just Go with It,63.913
801071,The Jack in the Box: Awakening,63.9
980078,Winnie the Pooh: Blood and Honey,63.837
311324,The Great Wall,63.795
474350,It Chapter Two,63.79
800158,The Killer,63.786
13461,Melissa P.,63.638
1008102,Rally Road Racers,63.526
8681,Taken,63.468
278154,Ice Age: Collision Course,63.228
1159204,1962 Halloween Massacre,63.142
1495,Kingdom of Heaven,63.114
400535,Sicario: Day of the Soldado,63.091
555604,Guillermo del Toro's Pinocchio,63.032
1163258,12th Fail,63.024
949,Heat,62.904
814776,Bottoms,62.88
602223,The Forever Purge,62.869
2105,American Pie,62.829
626332,Flamin' Hot,62.747
343668,Kingsman: The Golden Circle,62.717
28676,Schiave bianche: violenza in Amazzonia,62.71
659370,Margrete den første,62.675
16869,Inglourious Basterds,62.674
41446,Scream 4,62.644
12155,Alice in Wonderland,62.568
755,From Dusk Till Dawn,62.553
338958,Disenchanted,62.527
135397,Jurassic World,62.466
981316,The Elevator,62.461
297761,Suicide Squad,62.43
10494,PERFECT BLUE,62.429
263115,Logan,62.416
350,The Devil Wears Prada,62.265
584004,Resurrected,62.236
14161,2012,62.21
400157,Wonder Park,62.174
9016,Treasure Planet,62.135
466272,Once Upon a Time… in Hollywood,62.079
47971,xXx: Return of Xander Cage,62.054
406990,What Happened to Monday,62.036
999644,You Are So Not Invited to My Bat Mitzvah,61.995
111,Scarface,61.983
530385,Midsommar,61.97
653346,Kingdom of the Planet of the Apes,61.94
355651,De leerling,61.821
79026,El padrino,61.8
35,The Simpsons Movie,61.715
718789,Lightyear,61.712
310,Bruce Almighty,61.655
381284,Hidden Figures,61.619
217,Indiana Jones and the Kingdom of the Crystal Skull,61.528
339846,Baywatch,61.515
964980,Air,61.454
585245,Clifford the Big Red Dog,61.432
43347,Love & Other Drugs,61.415
4348,Pride & Prejudice,61.403
9806,The Incredibles,61.399
460458,Resident Evil: Welcome to Raccoon City,61.372
7445,Brothers,61.327
