tmdb_id,score_imdb,title,genres,poster_path,year,keywords,cast,director,watch_providers
12445,7.896148467594996,Harry Potter and the Deathly Hallows: Part 2,"Fantasy, Adventure",/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,2011,"witch, dying and death, saving the world, self sacrifice, magic, school of witchcraft, sorcerer, school, battle, wizard, teenage hero, christmas, based on young adult novel, good versus evil","Daniel Radcliffe, Emma Watson, Rupert Grint, Ralph Fiennes, Alan Rickman, Michael Gambon, Warwick Davis, Helena Bonham Carter, Ciarán Hinds, Matthew Lewis",David Yates,
11,7.895946027960679,Star Wars,"Adventure, Action, Science Fiction",/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,1977,"empire, galaxy, rebellion, android, hermit, smuggling (contraband), freedom, rebel, superhero, rescue mission, space, planet, desert, super power, oppression, space opera, wizard, totalitarianism","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, James Earl Jones",George Lucas,337
238,7.894719811338352,The Godfather,"Drama, Crime",/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972,"based on novel or book, loss of loved one, love at first sight, italy, symbolism, patriarch, europe, organized crime, mafia, religion, lawyer, revenge motive, crime family, sicilian mafia, religious hypocrisy, gun violence, rise to power, dead horse, gang violence, 1940s, 1950s, mafia war","Marlon Brando, Al Pacino, James Caan, Robert Duvall, Richard S. Castellano, Diane Keaton, Talia Shire, Gianni Russo, Sterling Hayden, John Marley",Francis Ford Coppola,"119, 381, 531, 582, 1853"
105,7.892352533085613,Back to the Future,"Adventure, Comedy, Science Fiction",/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg,1985,"flying car, race against time, clock tower, car race, lightning, guitar, plutonium, inventor, journey in the past, invention, time travel, bullying, mad scientist, fish out of water, terrorism, teenage love, destiny, hidden identity, love and romance, teenage life, changing the past or future, 1950s","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, George DiCenzo, Frances Lee McCain",Robert Zemeckis,"8, 119, 1796"
354912,7.889830890756572,Coco,"Family, Animation, Music, Adventure",/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,2017,"skeleton, mexico, guitar, afterlife, musician, holiday, singer, life after death, child, day of the dead","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renée Victor, Ana Ofelia Murguía, Edward James Olmos, Jaime Camil, Alfonso Arau, Herbert Siguenza",Lee Unkrich,337
10681,7.886250732180125,WALL·E,"Animation, Family, Science Fiction",/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg,2008,"garbage, dystopia, space travel, distant future, loneliness, robot, aftercreditsstinger, duringcreditsstinger","Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard, John Ratzenberger, Kathy Najimy, Sigourney Weaver, Teddy Newton, Bob Bergen, John Cygan",Andrew Stanton,337
98,7.88375503559196,Gladiator,"Action, Drama, Adventure",/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,2000,"epic, gladiator, rome, italy, arena, senate, roman empire, parent child relationship, emperor, slavery, ancient rome, revenge, battlefield, slave auction, historical fiction, ancient world, combat, chariot, philosopher, barbarian horde, 2nd century, successor, commodus, maximus","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Tomas Arana",Ridley Scott,"8, 119, 381, 1796, 531, 582, 1853"
8587,7.883475905574826,The Lion King (1994),"Family, Animation, Drama",/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,1994,"father murder, loss of loved one, africa, lion, manipulation, redemption, musical, uncle, murder, warthog, shaman, king, scar, family, hyena, meerkat, nature, mandrill","Matthew Broderick, Moira Kelly, Nathan Lane, Ernie Sabella, Robert Guillaume, Rowan Atkinson, James Earl Jones, Jeremy Irons, Jonathan Taylor Thomas, Niketa Calame-Harris",Roger Allers,337
37165,7.882785051260052,The Truman Show,"Comedy, Drama",/vuza0WqY239yBXOadKlGwJsZJFE.jpg,1998,"paranoia, dystopia, suspicion, video surveillance, deception, hidden camera, simulated reality , television producer, tv show in film, make believe","Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor, Ed Harris, Paul Giamatti, Brian Delate, Peter Krause, Blair Slater",Peter Weir,"381, 531, 582, 1853"
496243,7.880875501771542,Parasite,"Comedy, Thriller, Drama",/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019,"dark comedy, private lessons, birthday party, con artist, working class, psychological thriller, class differences, housekeeper, tutor, family, crime family, unemployed, wealthy family, south korea, seoul, south korea","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-shik, Park So-dam, Lee Jung-eun, Jang Hye-jin, Park Myung-hoon, Jung Ji-so, Jung Hyeon-jun",Bong Joon-ho,"381, 531, 582, 1853"
