tmdb_id,score_imdb,title,genres,vote_average,vote_count,poster_path,year,title_fr,keywords,cast,director,watch_providers
43347,6.844301419148511,Love & Other Drugs (2010),"Drama, Comedy, Romance",7.049,4951,/wZLM2uKJRYNchLmiCIjosX0rXy8.jpg,2010,Love & autres drogues (2010),"letter, sexual freedom, love, viagra, free spirit","Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria, Josh Gad, Gabriel Macht, Judy Greer, Jill Clayburgh, George Segal, Kate Jennings Grant",Edward Zwick,337
508947,6.843835665871285,Turning Red (2022),"Animation, Family, Comedy, Fantasy",7.39,4934,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,2022,Alerte rouge (2022),"friendship, canada, concert, temple, shapeshifting, toronto, canada, coming of age, teenage girl, female protagonist, east asian lead, animal, domineering mother, perfectionist, aftercreditsstinger, chinese canadian, woman director, ancestor, boy band, mother daughter relationship, red panda, appreciative","Rosalie Chiang, Sandra Oh, Ava Morse, Hyein Park, Maitreyi Ramakrishnan, Orion Lee, Wai Ching Ho, Tristan Allerick Chen, James Hong, Lori Tan Chinn",Domee Shi,337
399404,6.843670616372469,Darkest Hour (2017),"Drama, History",7.352,4928,/xa6G3aKlysQeVg9wOb0dRcIGlWu.jpg,2017,Les heures sombres (2017),"world war ii, biography, based on true story, london underground, british politics, british prime minister, british history, dunkirk, 1940s, winston churchill","Gary Oldman, Kristin Scott Thomas, Ben Mendelsohn, Lily James, Ronald Pickup, Stephen Dillane, Nicholas Jones, Samuel West, David Schofield, Richard Lumsden",Joe Wright,
22803,6.843532808382671,Law Abiding Citizen (2009),"Drama, Crime, Thriller",7.386,4923,/fcEXcip7v0O1ndV4VUdFqJSqbOg.jpg,2009,Que justice soit faite (2009),"prison, assassin, philadelphia, pennsylvania, bomb, secret passage, deal, investigation, explosion, justice, criminal mastermind, district attorney, courtroom, rape and revenge, vigilantism, vigilante justice","Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill, Leslie Bibb, Michael Irby, Gregory Itzin, Regina Hall, Emerald-Angel Young, Brooke Stacy Mills",F. Gary Gray,119
9509,6.843394757216607,Man on Fire (2004),"Action, Drama, Thriller",7.462,4918,/v8H6dPqXhHWW137ubxqD4HdHTib.jpg,2004,Man on Fire (2004),"cia, mexico, mexico city, mexico, based on novel or book, kidnapping, bodyguard, diary, bible, remake, stuffed animal, revenge, cell phone, alcoholic, grenade launcher, child kidnapping, bloodshed, swim meet, corrupt cop","Denzel Washington, Dakota Fanning, Christopher Walken, Radha Mitchell, Marc Anthony, Giancarlo Giannini, Mickey Rourke, Rachel Ticotin, Roberto Sosa, Jesús Ochoa",Tony Scott,"8, 1796"
297,6.843145650255658,Meet Joe Black (1998),"Fantasy, Drama, Romance",7.329,4909,/fDPAjvfPMomkKF7cMRmL5Anak61.jpg,1998,Rencontre avec Joe Black (1998),"life and death, broken engagement, love at first sight, fireworks, religion and supernatural, based on play or musical, fate, teenage crush, doctor, millionaire, death personified, death incarnate, angel of death, encontro marcado, appreciative, compassionate","Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber, Marcia Gay Harden, Jeffrey Tambor, June Squibb, Gene Canfield, Suzanne Hevner, Stephen Adly Guirgis",Martin Brest,
583083,6.8429513518220695,The Kissing Booth 2 (2020),"Comedy, Romance",7.662,4902,/mb7wQv0adK3kjOUr9n93mANHhPJ.jpg,2020,The Kissing Booth 2 (2020),,"Joey King, Jacob Elordi, Joel Courtney, Molly Ringwald, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young, Stephen Jennings, Carson White, Bianca Bosch",Vince Marcello,"8, 1796"
60308,6.84278442677529,Moneyball (2011),Drama,7.273,4896,/myRHYxfLpgwwRd13kcrRqxG6jAj.jpg,2011,Le Stratège (2011),"underdog, california, sports, 1970s, baseball, based on true story, oakland, california, job transfer, oakland athletics, franchise, talent manager, statistics, 1980s, 2000s, major league baseball (mlb)","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright, Chris Pratt, Stephen Bishop, Reed Diamond, Brent Jennings, Ken Medlock, Tammy Blanchard",Bennett Miller,381
8321,6.842728706210617,In Bruges (2008),"Comedy, Drama, Crime",7.49,4894,/vz3Vd6nfq9YZrVvyYx5RHFaYKV3.jpg,2008,Bons baisers de Bruges (2008),"drug dealer, hitman, tourist, dark comedy, bruges, belgium, church, guilt, death, town square, vietnamese, canadian stereotype, neo-noir, christmas","Colin Farrell, Brendan Gleeson, Ralph Fiennes, Clémence Poésy, Thekla Reuten, Jordan Prentice, Elizabeth Berrington, Jérémie Renier, Mark Donovan, Eric Godon",Martin McDonagh,
6114,6.842561307281623,Bram Stoker's Dracula (1992),"Romance, Horror",7.454,4888,/scFDS0U5uYAjcVTyjNc7GmcZw1q.jpg,1992,Dracula (1992),"adultery, london, england, transylvania, vampire, bite, camping, maze, remake, rough sex, wake, religious conflict, correspondence, 19th century, 15th century","Gary Oldman, Winona Ryder, Keanu Reeves, Anthony Hopkins, Sadie Frost, Cary Elwes, Richard E. Grant, Billy Campbell, Tom Waits, Monica Bellucci",Francis Ford Coppola,
5548,6.842281515753779,RoboCop (1987),"Action, Thriller, Science Fiction",7.3,4878,/hHtOgGb3NihlyRATHlKPaFApbrd.jpg,1987,RoboCop (1987),"experiment, cyborg, crime fighter, dystopia, giant robot, evil corporation, cyberpunk, detroit, michigan, law enforcement, gentrification, corrupt system, megacorporation","Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox, Kurtwood Smith, Miguel Ferrer, Robert DoQui, Ray Wise, Felton Perry, Paul McCrane",Paul Verhoeven,119
377,6.842253481895932,A Nightmare on Elm Street (1984),Horror,7.3,4877,/wGTpGGRMZmyFCcrY2YoxVTIBlli.jpg,1984,Les Griffes de la Nuit (1984),"dream, nightmare, sadism, psychopath, sleep, child murder, supernatural, ohio, murder, slasher, trapped, alcoholic, boiler room, booby trap, nostalgic, disfigurement, medical test, nightmare becomes reality, supernatural horror, ghoulish","Heather Langenkamp, John Saxon, Ronee Blakley, Amanda Wyss, Jsu Garcia, Johnny Depp, Robert Englund, Charles Fleischer, Joseph Whipp, Lin Shaye",Wes Craven,
1581,6.841775376920398,The Holiday (2006),"Comedy, Romance",7.094,4860,/6fbqG49Q7IWBWdyJ7asNTcNbnG6.jpg,2006,The Holiday (2006),"london, england, movie business, christmas party, country house, vacation, surrey, los angeles, california, multiple storylines, woman director, christmas, house swapping","Cameron Diaz, Kate Winslet, Jude Law, Jack Black, Eli Wallach, Edward Burns, Rufus Sewell, Miffy Englefield, Emma Pritchard, Sarah Parish",Nancy Meyers,"8, 1796"
23168,6.841180760405603,The Town (2010),"Crime, Drama, Thriller",7.209,4839,/3efvQI5bC4yZAGlGklNUR6ogi39.jpg,2010,The Town (2010),"drug dealer, based on novel or book, ambulance, boston, massachusetts, money laundering, irish-american, bank manager, massachusetts, florist, flower shop, stolen money, hold-up robbery, volunteer, heist, friends, boston garden, shootout, police chase, best friend, bank robbery, car fire, fenway park, criminal gang, fbi agent, violence","Ben Affleck, Jeremy Renner, Rebecca Hall, Jon Hamm, Blake Lively, Slaine, Pete Postlethwaite, Owen Burke, Titus Welliver, Chris Cooper",Ben Affleck,
10112,6.840553016375586,The Aristocats (1970),"Animation, Comedy, Family, Adventure",7.301,4817,/1BVOSmQUhphMgnTxnXyfQ9tL1Sc.jpg,1970,Les Aristochats (1970),"paris, france, return, butler, suspension, inheritance, cartoon cat, kitten, 1910s, cartoon goose","Phil Harris, Eva Gabor, Sterling Holloway, Scatman Crothers, Paul Winchell, Lord Tim Hudson, Vito Scotti, Thurl Ravenscroft, Dean Clark, Liz English",Wolfgang Reitherman,337
10545,6.840524364626507,The Hunchback of Notre Dame (1996),"Drama, Animation, Family",7.11,4816,/7k0fr2xLCTChjN8MnGNThTP9uEB.jpg,1996,Le Bossu de Notre-Dame (1996),"dance, paris, france, based on novel or book, judge, sword, obsession, mockery, ugliness, cathedral, villain, musical, fool, bell, religion, orphan, army captain, festival, angry mob, notre dame cathedral, witch hunt, 15th century","Tom Hulce, Demi Moore, Heidi Mollenhauer, Tony Jay, Kevin Kline, Charles Kimbrough, Mary Wickes, Jane Withers, Jason Alexander, Paul Kandel",Gary Trousdale,337
324849,6.840237279774351,The Lego Batman Movie (2017),"Animation, Action, Comedy, Family",7.221,4806,/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,2017,"Lego Batman, le film (2017)","superhero, based on comic, based on toy, spin off, super power, lego, sardonic, wry","Will Arnett, Zach Galifianakis, Michael Cera, Rosario Dawson, Ralph Fiennes, Jenny Slate, Mariah Carey, Channing Tatum, Billy Dee Williams, Hector Elizondo",Chris McKay,119
11360,6.839717913878728,Dumbo (1941),"Animation, Family",7.002,4788,/xElwvLH9stNdduVnx9hx5UqEUwv.jpg,1941,Dumbo (1941),"mother, dream, nightmare, suffering, circus, clown, ear, musical, crow, affection, storch, big ears, cartoon mouse, cartoon elephant","Edward Brophy, Margaret Wright, Verna Felton, Sarah Selby, Noreen Gammill, Dorothy Scott, Herman Bing, Cliff Edwards, Jim Carmichael, Nick Stewart",Ben Sharpsteen,337
1491,6.837873235138201,The Illusionist (2006),"Fantasy, Drama, Thriller, Romance",7.297,4725,/4I1oOPHNrHLcvz3wTMuETJLws9z.jpg,2006,L'Illusionniste (2006),"princess, magic, rivalry, love, vienna, austria, super power, crown prince, duchess, childhood sweetheart","Edward Norton, Paul Giamatti, Jessica Biel, Rufus Sewell, Eddie Marsan, Aaron Taylor-Johnson, Eleanor Tomlinson, Jake Wood, Tom Fisher, Karl Johnson",Neil Burger,119
2118,6.837754678088942,L.A. Confidential (1997),"Crime, Mystery, Thriller",7.791,4721,/lWCgf5sD5FpMljjpkRhcC8pXcch.jpg,1997,L.A. Confidential (1997),"corruption, based on novel or book, call girl, shotgun, detective, femme fatale, domestic violence, whodunit, corpse, district attorney, movie star, good cop bad cop, neo-noir, 1950s","Russell Crowe, Guy Pearce, Kevin Spacey, Kim Basinger, Danny DeVito, James Cromwell, David Strathairn, Ron Rifkin, Matt McCoy, Paul Guilfoyle",Curtis Hanson,"337, 381"
310307,6.837576517047312,The Founder (2016),"Drama, History",7.119,4715,/8gLIksu5ggdfBL1UbeTeonHquxl.jpg,2016,Le Fondateur (2016),"greed, ambition, biography, family business , based on true story, salesman, corporate greed, fast food, corporate power, franchise, 1950s, burger, mcdonald's","Michael Keaton, Nick Offerman, John Carroll Lynch, Linda Cardellini, B.J. Novak, Laura Dern, Justin Randell Brooke, Kate Kneeland, Patrick Wilson, Griff Furst",John Lee Hancock,
9377,6.837427750347411,Ferris Bueller's Day Off (1986),Comedy,7.6,4710,/9LTQNCvoLsKXP0LtaKAaYVtRaQL.jpg,1986,La Folle Journée de Ferris Bueller (1986),"chicago, illinois, high school, independence, coming of age, caper, breaking the fourth wall, teen movie, fantasy sequence, car theft, skipping school, aftercreditsstinger, duringcreditsstinger, truancy, day in a life, 1980s, teenager","Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Ben Stein",John Hughes,"381, 138, 1734, 531, 582, 1853, 1967"
97367,6.837099502413089,The Place Beyond the Pines (2013),"Drama, Crime",7.0,4699,/vY5j2xQzMGWmxBuhQo0HfA4Lxqb.jpg,2013,The Place Beyond the Pines (2013),"corruption, parent child relationship, hostage, motel, carnival, stuntman, house party, mechanic, religion, bag of money, motorcycle, police officer, bank robbery, rookie cop, haunted by the past, legacy, evidence room, diverging narrative","Ryan Gosling, Eva Mendes, Bradley Cooper, Rose Byrne, Ray Liotta, Dane DeHaan, Emory Cohen, Mahershala Ali, Bruce Greenwood, Ben Mendelsohn",Derek Cianfrance,
675353,6.83688992632724,Sonic the Hedgehog 2 (2022),"Action, Adventure, Family, Comedy",7.522,4692,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,2022,"Sonic 2, le film (2022)","mad scientist, sequel, revenge, based on video game, duringcreditsstinger, hedgehog, live action and animation, sonic cinematic universe","Ben Schwartz, James Marsden, Tika Sumpter, Colleen O'Shaughnessey, Idris Elba, Jim Carrey, Natasha Rothwell, Adam Pally, Shemar Moore, Lee Majdoub",Jeff Fowler,
2109,6.8366196776779296,Rush Hour (1998),"Action, Comedy, Crime",7.045,4683,/3WsLE6FtxEPRa6U9sbY1ckrn39s.jpg,1998,Rush Hour (1998),"martial arts, fbi, two man army, chinese mafia, los angeles, california, east asian lead, buddy cop, consul, crime lord, art treasures, child kidnapping, duringcreditsstinger, action hero","Jackie Chan, Chris Tucker, Tom Wilkinson, Philip Baker Hall, Elizabeth Peña, Chris Penn, Mark Rolston, Tzi Ma, Rex Linn, Ken Leung",Brett Ratner,
563,6.836439013849339,Starship Troopers (1997),"Adventure, Action, Thriller, Science Fiction",7.055,4677,/cxCmv23O7p3hyHwqoktHYkZcGsY.jpg,1997,Starship Troopers (1997),"spacecraft, space marine, army, moon, based on novel or book, asteroid, intelligence, dystopia, buenos aires, argentina, space battle, satire, giant insect, creature, soldier, drill instructor, military, bugs","Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey, Neil Patrick Harris, Clancy Brown, Michael Ironside, Patrick Muldoon, Seth Gilliam, Rue McClanahan",Paul Verhoeven,337
399174,6.836348532020379,Isle of Dogs (2018),"Adventure, Comedy, Animation",7.847,4674,/c0nUX6Q1ZB0P2t1Jo6EeFSVnOGQ.jpg,2018,L'Île aux chiens (2018),"island, japan, stop motion, dog, garbage dump, pets, absurd, witty","Bryan Cranston, Koyu Rankin, Bob Balaban, Edward Norton, Bill Murray, Jeff Goldblum, Kunichi Nomura, Fisher Stevens, Akira Takayama, Greta Gerwig",Wes Anderson,"337, 138"
7485,6.835773147510457,Shooter (2007),"Drama, Action, Thriller",7.115,4655,/2aWGxo1E5polpBjPvtBRkWp7qaS.jpg,2007,"Shooter, tireur d'élite (2007)","sniper, philadelphia, pennsylvania, assassination, based on novel or book, kidnapping, fbi, ethiopia, senator, kentucky, president, tennessee, on the run, conspiracy, gunsmith, dog, ex-marine, patriot, u.s. marine, military veteran, contractor, framed for murder, secluded cabin, archbishop, langley virginia, ex military, war widow, army colonel, manhunt, death of friend, fbi agent, bozeman montana, gunnery sergeant, wyoming, fugitive suspect, assassination plot, marine sniper, spotter","Mark Wahlberg, Michael Peña, Danny Glover, Ned Beatty, Kate Mara, Elias Koteas, Rhona Mitra, Rade Šerbedžija, Jonathan Walker, Louis Ferreira",Antoine Fuqua,"8, 381, 138, 1734, 1796, 531, 582, 1853"
503919,6.834301360931015,The Lighthouse (2019),"Drama, Fantasy, Thriller",7.5,4607,/3nk9UoepYmv1G9oP18q6JJCeYwN.jpg,2019,The Lighthouse (2019),"island, nightmare, isolation, mermaid, hallucination, lighthouse, lighthouse keeper   , gay interest, storm, male masturbation, new england, madness, drunkenness, 19th century, isolated island, one location, two-hander","Robert Pattinson, Willem Dafoe, Valeriia Karaman, Logan Hawkes, Kyla Nicolle, Shaun Clarke, Pierre Richard, Preston Hudson, Jeff Cruts",Robert Eggers,
756999,6.833649126362983,The Black Phone (2022),"Horror, Thriller",7.635,4586,/lr11mCT85T1JanlgjMuhs9nMht4.jpg,2022,Black Phone (2022),"mask, small town, child abuse, dream, sibling relationship, kidnapping, sadistic, 1970s, supernatural, cellar, colorado, bullying, basement, serial killer, based on short story, alcoholic father, child kidnapping","Mason Thames, Ethan Hawke, Madeleine McGraw, Jeremy Davies, E. Roger Mitchell, Troy Rudeseal, James Ransone, Miguel Mora, Rebecca Clarke, J. Gaven Wilde",Scott Derrickson,
